user_name,comment_time,number_of_likes,comment_text,thumbnail_URL
@SaadGamingz,1 year ago,3,"Hello Sir, Can you make a video about the difference between Software Engineering and BSCS in complete Details. It would be really helpful if you can, In 15 days going to University for software engineering ,still have confusion between software engineering and BSCS. Help via Reply would be appreciated. Thanks!.",
@adnanshoukat2300,1 year ago,3,Bro can you bring more people like this to your podcast.,
@ibrahimabid2448,1 year ago,1,Ehmad Bhai please also interview someone who belongs to the AI department (Artificial Intelligence).,
@glomestone8512,1 year ago,3,Great video Ehmad! Loved the little bit of sense of humor in the middle. Keep up the good work!,
@Hamzakhan-kx2ql,1 year ago,3,"Very informative, please make video on how to improve communication skill and best way to sell yourself in an interview",
@crbxwed9357,1 year ago,7,Sir can you make a video on what books you should self study and which online courses you should take while studying your normal university curriculum for SE/CS in university?,
@foryoushorts7323,5 months ago,0,"Thank you, sir, I am planning to go to Germany & this was really helpful information for me.",
@FarhanKhan-jc6qo,1 year ago,1,Amazing Masha Allah keep up the good work️,
@salmanahmedkhan3979,1 year ago,2,Very much informative video and great channel. Love you bro ,https://yt3.ggpht.com/ytc/AGIKgqPw-xa4OSjwjQQxYKbs9PJYXvPeza8hZJg5BGAATg=s48-c-k-c0x00ffffff-no-rj
@AyeshaFatima-zf5yn,1 year ago,3,Great content. Can u make a video on multinational companies currently working in Pakistan. I'm from Kashmir & I searched about it  but couldn't get information & don't have enough knowledge and access to multinational companies,https://yt3.ggpht.com/ytc/AGIKgqPu4hBFj3UQzgLYck5FFg927u-GEixiir4NoA=s48-c-k-c0x00ffffff-no-rj
@mubeen__channa,1 year ago,0,"Awesome Video ️
Make more videos like this",https://yt3.ggpht.com/T9dzIddC2henu2H7Exwlu1dtHtd5Vhk3qdS9nmYLBUS-WBrl8m_45JPglMRTCkSskyt4TmKNC0I=s48-c-k-c0x00ffffff-no-rj
@zohaibzahidmalik6202,1 year ago,2,Very informative video !,https://yt3.ggpht.com/ytc/AGIKgqOTqgSGNWoVViur0pOwNnvv-M2S0lXuRY19Cbbm=s48-c-k-c0x00ffffff-no-rj
@king97x,1 year ago (edited),2,"""Bohat maza aaye ga apko"" - Usman Abbasi
Quote of the day hogya ... Or maza aa gaya  
Timestamp = 29:15 (thank me later)",https://yt3.ggpht.com/ytc/AGIKgqMvF8tXeJ_MXKbtwvb6iPxNXoZhzfPk_K38vM1FdA=s48-c-k-c0x00ffffff-no-rj
@alijamshed5509,1 year ago,3,"Only 827 views so far, this should have been viewed 827K times. Great Content.",https://yt3.ggpht.com/ytc/AGIKgqOKcmIUC3wWd1DWemfb1QZrfVwexotSOmtHNA=s48-c-k-c0x00ffffff-no-rj
@chouaibbenali5201,1 year ago,1,"No offense but i have a hard time to understand this gentleman speaking,is there anyway to have a subtitle in English to follow him along ? i'm really interested about this kind of content to be fair",https://yt3.ggpht.com/ytc/AGIKgqN6UCbQjGt6kcaBQisG6v96acKbvSEAwEm30pkGbA=s48-c-k-c0x00ffffff-no-rj
@comment-bot6443,1 year ago,2,"This is very informative.
I have a question sir,
I am 40, working as a transcriptionist in KSA.
I want to learn programming language and move from here. Kindly guide me a path, or a string to follow helping me in switching my career at this age. Which language i should start learning that can help me achieve my objective in a year's time?
Thank you.",https://yt3.ggpht.com/ytc/AGIKgqN7ARQfxMaWnuXFWTd_66ZF-GYQAR7V77l4HQKnwQ=s48-c-k-c0x00ffffff-no-rj
@safionweb,7 months ago,0,Very informative!,https://yt3.ggpht.com/ytc/AGIKgqP-wbLWI-6_Nt2ewTdZ4S-TgOpyJ20bxshlkB6SJA=s48-c-k-c0x00ffffff-no-rj
@muhammadusmanakram406,10 months ago,0,Which tech stack should we learn??,https://yt3.ggpht.com/ytc/AGIKgqOK4cZ1N8eWx6Jo3VRlHEgSEbGYzph_BlHIIQ=s48-c-k-c0x00ffffff-no-rj
@talhabytheway,1 year ago,2,"Came to your channel after watching your podcast on Muzammil's channel, deffo doing good work!!",https://yt3.ggpht.com/ytc/AGIKgqMFTDo6RMT6J4AG6Uoko1PO_xemJtvP3H6dNCxfqw=s48-c-k-c0x00ffffff-no-rj
@AmeerHamza-yk3rt,1 year ago,10,"Great bro is university matter like in paksitan there are many developer who are not from reputed university like fast and nust ""these university matter for getting job in foreign country like USA German""",https://yt3.ggpht.com/_Lxg78RzsCago7wc3XBNxlkIj8FScb8MNNo8o1XdwaNeF6AwMAjC8plXQBBS44kyGxaEiB989w=s48-c-k-c0x00ffffff-no-rj
@muhammadhusnain9183,6 months ago,0,loving your podcasts bro!,https://yt3.ggpht.com/ytc/AGIKgqNfIUMbi9IA3f8YbUy6h-P2v5X4zzlVDc2v1w=s48-c-k-c0x00ffffff-no-rj
@kashanali7500,1 year ago,2,"I am 1st year student of software engineering 
Please prefer me courses according to my field and year.
Thanks in advance ️",https://yt3.ggpht.com/ECzTXQo1700UQ6slyIId6M62V1A-pz-lyvm5dtuN9R3CcGVq1FZMIdXF0VhBKeTtdViIJqz1=s48-c-k-c0x00ffffff-no-rj
@maryamjamil7133,1 year ago,2,,https://yt3.ggpht.com/ytc/AGIKgqOC7M2u3AoyxGyhf-4mYzpzf258vR0FmxSjMQ=s48-c-k-c0x00ffffff-no-rj
@ramshaaijaz2531,1 year ago,2,Great conversation,https://yt3.ggpht.com/ytc/AGIKgqPPZsHnJMds9cR0CwYepKD35CbTHFuI9GjyheuVWw=s48-c-k-c0x00ffffff-no-rj
@hikmatullah4178,1 year ago,1,"Good work 
Sir I am new to computer and 8 want to be a software engineer what should I do or learn first",
@kashifsam,1 year ago,2,Good One Brother ,
@tuahatayyab9716,1 year ago,2,Informative,
@ai.201,1 year ago,1,Emad is if possible to get a video on how to create a resume for internship?,
@mr.shadiregistrar1493,1 year ago,2,Great Insights..,
@ahsanfarooq7420,1 year ago,1,A.o.A ! Sir apny 2nd video mn it support or networking ka kha tha ..can you make a dedicated video on networking career and jobs etc please ??,
@uskhan3487,1 year ago,2,oh i was also thinking about Germany thanks for this video sir,
@zain8693,1 year ago,4,Watching this after submitting programming assignment,
@befantastic4886,1 year ago,2,"Ehmad Bhai, What is the process of getting intership in Arbisoft or System limited or any other  Software house?",
@ahmadammar576,1 year ago,1,Timestamps pleaseee,https://yt3.ggpht.com/ytc/AGIKgqMiEwnquCu3-ZSSQQXpU7oF_OI_Fah-4N3_Ng=s48-c-k-c0x00ffffff-no-rj
@AbdulRehman-pb5od,1 year ago,1,"Bro may nay front end web development sekhi hay aur InshaaAllah full stack web developer future may bano ga
Can I get a job as a full stack web developer with a degree?",https://yt3.ggpht.com/ytc/AGIKgqMsRCT_cVz0XdsSsOtsYZD1S5AWKDh---EDzJIe=s48-c-k-c0x00ffffff-no-rj
@asadalich1000,1 year ago,2,"Ehmad Sir I want to consult with you 
I am ready to pay fees for that .",https://yt3.ggpht.com/ytc/AGIKgqO722L_bFI47P4QVQGgQQ-e0DbX-WgEl0aHtQaYO9uNaM7V0ObgZSGxvMbPI7l_=s48-c-k-c0x00ffffff-no-rj
@faizansiddiqui891,1 year ago,1,Lahore mein software engineering ya CS ka lya konsi university aap prefer krta ho ?,https://yt3.ggpht.com/ytc/AGIKgqOTPOlghLUx_FEpAcl-6Ie7WKy-P3WwCRg21A=s48-c-k-c0x00ffffff-no-rj
@MuhammadAli-ri9sg,1 year ago,1,"with great responsibility, comes great power xD Ehmad",https://yt3.ggpht.com/ytc/AGIKgqPUG7abMAUuXTJZqyVRZ7DAIWxmGl9_aYhzKVx3Og=s48-c-k-c0x00ffffff-no-rj
@ZainZain-zb7hw,1 year ago,1,Please share any social media account of Usman Abbasi ! I want to connect.,https://yt3.ggpht.com/ytc/AGIKgqO0WXUI3utrpX_HO0XXqBa3AjXLMAv_z2lTGCR_wQ=s48-c-k-c0x00ffffff-no-rj
@wasiullahkhan7472,1 year ago,1,Behtareen video Ehmad Bhai!,https://yt3.ggpht.com/ytc/AGIKgqMAmuUXKV-qWRADY2_S1Xfyd_gSSNgGfzQvzj2I5VI=s48-c-k-c0x00ffffff-no-rj
@subhanliaqat8617,1 year ago,2,My favorite  channel on YouTube,https://yt3.ggpht.com/ytc/AGIKgqOSbldCT3Vvp0adyqAaAeXTTGczlMPEODMQcaedEg=s48-c-k-c0x00ffffff-no-rj
@muhammadusman4925,1 year ago,2,Please make a video with software quality engineer Manual/Automation in Germany,https://yt3.ggpht.com/ytc/AGIKgqOxUXu3Li98axpfrhFPTq6TV9A-JX5XSYP1EELu8Q=s48-c-k-c0x00ffffff-no-rj
@AbdulRehman-pb5od,1 year ago (edited),1,Bro may Punjab university say affiliated college say bscs kr raha hon aur uni k first year may humay visual basic 6.0 language sikha rahain hain Jo k already he aik dead language hay,https://yt3.ggpht.com/ytc/AGIKgqMsRCT_cVz0XdsSsOtsYZD1S5AWKDh---EDzJIe=s48-c-k-c0x00ffffff-no-rj
@elonmusk.0,9 months ago,0,Bro mera bachelors complete hone mn 1 year ha or mn ne masters k lye germany ana ha... pr mn aik permanent back-end languague select nhi kr pa rha jis pr mn focus krun  (.NET pr kam kia thora) java or python or php blkl basic ata ha .. mujhe Germany k lye in mn se kon c language pr kaam krna chahye jo demand mn ha taake masters krte waqt hi mn part time job krta hun as a back-end trainee,https://yt3.ggpht.com/SEi6QMQ-kHE0KIJITr9SfxIOMkgExnx8xtoxzQeBg0oOfLmBtTo44WAIs2Yz4Ddr4WrLgBOM2-A=s48-c-k-c0x00ffffff-no-rj
@zohaibashraf1245,9 months ago,0,yr make more videos those who get job in foreign countries?,
@tobi7243,1 year ago,0,Bhai mujhy apki help chahiye computer mein maths mushkil hai ya assan hai??,
@ranomtech6463,1 year ago,0,29:15 Bohat Maza Aye ga Aap ko ,
@zainzia5708,1 year ago,6,Man add the timestamps plz,
@moosabutt8456,1 year ago,1,Don't forget me ehmad bhai when you have a million subs.,
@uskhan3487,1 year ago,1,sir ak video ka request ha please batya huma ka Web development or software development or data science kon sa best field ha for best career,
@mshahmirraza,1 year ago,2,Can a CS student choose to become a backend developer/engineer?,
@mehranjavid4770,1 year ago,2,link you've provided in the video details is not working?,
@sheheryarmalik6035,1 year ago,1,Zalendo kaisi company ha maray uncle uss company main senior software engineer hai.,
@salman8562,1 year ago (edited),2,4-5 mahine lagaye after job offer to get the visa? toh company ney itni dair kaya kiya? remote job?,https://yt3.ggpht.com/ytc/AGIKgqMeE7TGLWUgzOfvzYFE-CLt0AA4J2iI8au2dlq-4g=s48-c-k-c0x00ffffff-no-rj
@hadiali5249,1 year ago,1,usman bhi ki voice zara low thi buss....,https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj
@gamingandtech9415,1 year ago,0,Is softwear engineering is booring or not,https://yt3.ggpht.com/ytc/AGIKgqOt0jlGi2thKOLeBiuxMHCuSvwaFe6qBpIsRaLxTg=s48-c-k-c0x00ffffff-no-rj
@hadiali5249,1 year ago,1,"awaz ki shidat ko thora mazeed bahter ker le.
baki bahtreen he.",https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj
@talha.z7560,1 year ago,1,Camera thek Nahi yeh dono ak dosray ki taraf dakh kr bat kr ray hay bas,https://yt3.ggpht.com/ytc/AGIKgqP9teI6gIOEMqqTsP3t1P-RgOTZe9jK-b_jHkf3ZQ=s48-c-k-c0x00ffffff-no-rj
@ahmadwaheed8003,1 year ago,2,First view,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj
@aizazhaider9057,1 year ago,1,4400*,https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj
@velializade3337,1 year ago,1,"Dude, if you make video title in english then speak in english.  There are not even subtitles. You wasting time of other people.",https://yt3.ggpht.com/ytc/AGIKgqPiyhR7vagN-6pZxVeqd_8UEbu5WUzgYlwE8w=s48-c-k-c0x00ffffff-no-rj
@salmansaeed4039,1 year ago,2,2nd,https://yt3.ggpht.com/ytc/AGIKgqO7XDVd-2N6nLAiN0_BFGhsRZH59BvjJBdHLgyVYys=s48-c-k-c0x00ffffff-no-rj
