Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
zub c,2 years ago,"Having knowledge is one thing, spreading it is another - and divine...",https://yt3.ggpht.com/ytc/AGIKgqNiOSJykUUM5zqLs-EGbMZSdIttPtjZpAWJhFxT=s48-c-k-c0x00ffffff-no-rj,12
Shariq Shaikh,2 years ago,"Well, glad to see someone doing that much hardwork just for students like us! Thank you so much help me alot I am gonna love this session! Keep it up brother!",https://yt3.ggpht.com/ytc/AGIKgqNaY_HqARnpbT_-0nxeN1PC-nV_7x-PevoPXM9Xeg=s48-c-k-c0x00ffffff-no-rj,4
Farhan Bajwa,2 years ago,"After Rejection From ArbiSoft Interview to Ace the Amazon and Google Interview, This journey was quite amazing and motivating.",https://yt3.ggpht.com/ytc/AGIKgqO30pi_LHRc4KxNXSokw6MfyZ1hP1D_vAFWX59T=s48-c-k-c0x00ffffff-no-rj,7
Shahood Sajid,2 years ago,You are such an inspiration for undergrads like us ️ keep shining,,2
Abuzar Barki,1 year ago,Thanks alot to both of u guys having awesome conversation that opens up mind of under graduation students ..,,1
Wasiullah Khan,2 years ago,"Awesome interview man, really opened up my mind on a lot of things!",,2
Muhammad Zain Abbas Baloch,1 year ago,I thought there are no such channels in Pakistan but surprised to see your channel. U R doing great job. Keep it up.,,2
Aliyan Ahmed,2 years ago,"Another great bucket of knowledge!
Keep going bhai",,2
Saad Rajpoot,2 years ago,"That's a Great video, Ehmad Bhai ! ️
You are surely getting your 'Jazaa' for this from ALLAH Pak ️",,2
Fahad Amin,1 year ago,Really a humble inspirational personalities.,,0
Abu Ubaida,2 years ago,"Sir, Thank you so much, it was tremendous episode.",,1
Shoaib Goraya,1 year ago,Bro u r doing great work and very nice guest this time,,0
Adnan Ali,2 years ago,Sir please make a detailed podcast on how to get in Fanng company and how to prepare for that.,,0
Ahsan Saleem,1 year ago,thank so much Ehmad sir also Muneeb sir for such a great conversation. #saveAndgrabAllgoldenTips,,0
Adeen Ahmad Zia,2 years ago,Sir u r an inspiration for me. Plzz keep up your good work,https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,0
Hamza Aamir,2 years ago,"Sir Aoa, with due respect I wanted to ask that if I could build my FYP based on web development. Although in Uni they haven't taught about web development. I am learning web development by myself.",https://yt3.ggpht.com/ytc/AGIKgqNBF1szgl0RSP77VLxOIMnqku28yqd9T2QwynzG=s48-c-k-c0x00ffffff-no-rj,0
Muneeb Ahmad,2 years ago,Quite a similar academic story as mine also tried for PAF till 4th semester. CS student from FAST!,https://yt3.ggpht.com/ytc/AGIKgqP-QcPHyjNkqs-373q0BRNQRr5S21Im7-AXunyJAQ=s48-c-k-c0x00ffffff-no-rj,1
That was Mystic,2 years ago,sir i have a question from you and i want you to include this question in your interviews.i have done my fsc pre-medical back in 2019 but unfortunately i didn't get admission in any medical college.than i repeated MDCAT again this year but unfortunately i have no chance to get into any med school even though i have 90% marks in fsc.now i want to do software engineering or computer science as pre-med are allowed to get admission in any computing programme and also i have great interest in computer science.is it right to do SE or CS after fsc pre-medical?? and i also want to ask either i should do CS or SE because i'm very confused.hope you will guide me..,https://yt3.ggpht.com/ytc/AGIKgqP9k9it1BmaKjHfgIjWo6SUcn1AXInp5HizjA_dOw=s48-c-k-c0x00ffffff-no-rj,0
Najam Ul hassan,2 years ago,Ehmad bhai you just rock it Ma Sha Allah ️another insightful video,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Zain Abbas Baloch,1 year ago,Your work is very good! Keep it up!,https://yt3.ggpht.com/ytc/AGIKgqMLZ5mb5u5bTSg3E2UdVaSDswkXvWDzw1NQGsm5m9I=s48-c-k-c0x00ffffff-no-rj,1
MR Mack,2 years ago,"As a second year CS student, is it a good way to apply to different companies ( including Arbisoft ) not for money but for work experience in this summer. Will companies accept it and should I email them ?",https://yt3.ggpht.com/ytc/AGIKgqMWAFzLnj3vzob3tXkxjeP6tTgo0yfg5cQZtQ=s48-c-k-c0x00ffffff-no-rj,1
Syed Faateh Sultan Kazmi,2 years ago,Thanks for another inspirational video,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Shahriyar Abid,2 years ago (edited),This is really informative at all Ehmad bro. Can you please interview of someone QA expert person?,https://yt3.ggpht.com/ytc/AGIKgqPrOxW4YPCBTyAbE0E19-OloK4c3aMI23gYuFba7g=s48-c-k-c0x00ffffff-no-rj,2
Tooba Inamullah,2 years ago,Keep up the good work brother,https://yt3.ggpht.com/ytc/AGIKgqMoIIlQqNPWm7UZXqXwmCFr1ehmAv6KJ6L2IA=s48-c-k-c0x00ffffff-no-rj,0
Uzair memon,2 years ago,"My Que are
1 what is difference between Frontend and back end
2 i am currently in entre some advices for me?
3 i want to do bscs from fast karachi so is it worth it?
4 how should i know if am good at programming or in cs???
Please answere my queries!",,3
Malik Bilal,2 years ago,"Thanks for this advance career guide. I also want to know about Best Book for clearing deeply concept's about ""Data Structure and Algorithm"". kindly suggest me.",,0
Fahad Azeem,2 years ago,How to identify a good team lead?,,0
Muhammad Usman,1 year ago,Humble personality!!,,0
ABDULLAH Saif,2 years ago,"what a beautiful hour, I spent :)",,0
Muhammad Dawood EB20_2073,1 year ago,Thank you so much bro your channel is Excellent it help and motivate me a lot,,0
Mirza Mubeen Baig,2 years ago,Very Insightful !,,0
thereal hamidsaeed,2 years ago,very knowledgeable video,,0
Menz Talk,2 years ago, Awesome video,https://yt3.ggpht.com/SXrQU9Y45cy-sqSPBREnri_90qyIIyC-ef_p7XQ1LVvGzk2emMC_iniPSglq-OvUUY7Bfhc3=s48-c-k-c0x00ffffff-no-rj,0
Najeebullah Tahir,2 years ago,Ma Sha Allah ,https://yt3.ggpht.com/ytc/AGIKgqMgmSZz1ffcqiQFFBlEel4Q-OYxRjLJ5m3WKWs_mg=s48-c-k-c0x00ffffff-no-rj,1
Usama Baig,2 years ago,Gonna be very helpful.,https://yt3.ggpht.com/ytc/AGIKgqN8r3OsdyHIKrOLYYvcRymoPJCcNzLOQRwqUGVBeg=s48-c-k-c0x00ffffff-no-rj,0
Faizan Khan,2 years ago,Insightful!,https://yt3.ggpht.com/ytc/AGIKgqOqKVXYN-OKwEdz3O8LNgw2RH_dIH5aFMB0GCckRg=s48-c-k-c0x00ffffff-no-rj,0
Zain Zain,1 year ago,What about JavaScript as a backend language,https://yt3.ggpht.com/ytc/AGIKgqO0WXUI3utrpX_HO0XXqBa3AjXLMAv_z2lTGCR_wQ=s48-c-k-c0x00ffffff-no-rj,0
zakria bacha,1 year ago,it opened my mind.,https://yt3.ggpht.com/ytc/AGIKgqO-0mI55tBLf4UUZ1gFSb0wHt4FGwkUK7bodJoByQ=s48-c-k-c0x00ffffff-no-rj,0
SHAHZAIB KHAN,1 year ago,Jazakallah ️,https://yt3.ggpht.com/ytc/AGIKgqPfoIpZ16iHjlcZMP7LRrZNfb3zSOJpyKs3st2_BA=s48-c-k-c0x00ffffff-no-rj,1
Uzair memon,2 years ago,First One to be here!Nice Work Ehmad bhai,https://yt3.ggpht.com/ytc/AGIKgqNfkdLc3fwF7oXNLMlVyEJH9dz67yroZQk19-ht=s48-c-k-c0x00ffffff-no-rj,7
Ahmad_Waheed,2 years ago,Very helpful Ehmad Bahi. Allah ap ko salamt rakhy.,https://yt3.ggpht.com/M5H5pJJrA_zPkB8vhtPqWunptdCLaxEunx8QgTbUy9DyF7Chg_ygCyan1_4eXNr1JO0Hb53L=s48-c-k-c0x00ffffff-no-rj,0
Hasnain Naveed,2 years ago,Good one !!!,https://yt3.ggpht.com/ytc/AGIKgqMnyjIKig9Il2_IryLtFzCPiJhO6Fhn6CLMlfvXEQ=s48-c-k-c0x00ffffff-no-rj,0
Study Desk,2 years ago,Again thank you sir,https://yt3.ggpht.com/F7ZsZqFUqFKhl4nQW9D6pI5kWJp82TxPddckS-PwP6l9mi1sjoCQmkxJa5X6Y2SrZXAZT3H2=s48-c-k-c0x00ffffff-no-rj,0
Flutter Javascript,2 years ago,"Invite a person working in blockchain domain.

thank you sir!",https://yt3.ggpht.com/ytc/AGIKgqOfnKFENlLblBO6ivOLTukszGNH3vEd47FoFA=s48-c-k-c0x00ffffff-no-rj,0
Bassam Fouad,1 year ago,Hi nice interview very informative. But how to get cracking the coding interview book in Pakistan ? I need it’s hard copy,,0
arslan maqsood,1 year ago,Ehmad please share the book link which muneeb has mentioned,,0
Ibrahim Abid,2 years ago,"Ehmad bhaaaaaaaaaaaaaaai  Live Q n A me mera question takreeban 4 se 5 comments k bad tha. But np ab bhi ab thak gaye hon ge. likin ap free ho kar iska answer bata dein.
​Which degree should I choose SE or CS w.r.t to job in Pakistan or any Foreign country? And is there any difference b/w  job of both departments? ",,0
Abdul Haseeb,2 years ago,,,0
Syed Faateh Sultan Kazmi,2 years ago,Ehmad bhai apko pucit main teacher ban jana chahiye ,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Usman Akram,10 months ago,communication kesy thek karen?? Mujy logo sy baten krna ghulna milna nae psnd to ab mn kya kru?? In short I'm an introvert.,https://yt3.ggpht.com/ytc/AGIKgqOK4cZ1N8eWx6Jo3VRlHEgSEbGYzph_BlHIIQ=s48-c-k-c0x00ffffff-no-rj,0
Samina Tahir,1 year ago,Does university name matters for job?,https://yt3.ggpht.com/ytc/AGIKgqOZpfWBQNFvO69y9asZswm_WBdGBgOGY8p83w=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Irfan,2 years ago,I am in 2nd year ICS. And mjy maths aur computer bht pasand hain. But computer ka mjy samjh nai ata k main kesy parhon. Main parhta samjh k hun but wo sab kuch mix up ho jata hai aur main totally confuse ho jata hun. Plz mjy koi solution batain computer main achy marks obtain karny ka. Plz plz plz,https://yt3.ggpht.com/ytc/AGIKgqNxxPsPcPKtmLv5QotTHVdlrG32B7ctDryq4A=s48-c-k-c0x00ffffff-no-rj,0
Rehan Ahmed,2 years ago,kya software engineers robotics ki field me ja sakte han?,https://yt3.ggpht.com/ytc/AGIKgqPfHwXfz7qgSMN-rPHg_Gw6dRYUjV_PQv9tiDaL9A=s48-c-k-c0x00ffffff-no-rj,0
Shahid Qureshi,1 year ago,pathetic interview,https://yt3.ggpht.com/ytc/AGIKgqN808zxX_NoR2CKoBLJihvh9Wmyu1uWC10Jcg=s48-c-k-c0x00ffffff-no-rj,0
zakria bacha,1 year ago,it opened my mind.,https://yt3.ggpht.com/ytc/AGIKgqO-0mI55tBLf4UUZ1gFSb0wHt4FGwkUK7bodJoByQ=s48-c-k-c0x00ffffff-no-rj,0
